"title","startDate","endDate","location","content"
"캐리랜드 팝업","25.10.17","25.11.13","서울 강남구 가로수길 82 (신사동)","캐리마켓 신사에 몬치치, 퍼글러, 잔망루피, 미피, 산리오 등 글로벌 인기 캐릭터 굿즈가 모였습니다."
"디오스피스 팝업","25.10.24","25.11.13","서울 성동구 성수이로 78 (성수동2가, 대림창고)","디오스피스 × 바운더리 성수 팝업스토어가 찾아왔습니다."
"TMwatch 정우상사 팝업스토어","25.10.24","25.11.15","서울 강남구 언주로168길 24 2층, KREAM VIP룸","정우상사는 1975년부터 세계적인 시계들과 함께, 세대를 넘어 이어지는 시간을 지켜왔습니다. 당신의 소중한 시간을 더욱 빛내기 위해 정성스럽게 시계를 소개하고, 지켜드립니다."
"러쉬 성수 팝업 씨어터 : 무명배우의 욕실편","25.09.02","25.11.15","서울 성동구 연무장길 58-1","매주 금/토/일 오후 6시와 8시! 성수동 러쉬 매장과 거리를 무대로 펼쳐지는 실험적 공연이 찾아옵니다. 지나가던 누구나 관객이 될 수 있습니다."
"랄프 로렌 팝업 - Holiday Experience","25.11.01","25.11.16","서울 성동구 아차산로9길 8 (성수동2가)","2025 Ralph Lauren Holiday Experience에서 랄프 로렌만의 Fall/Holiday 컬렉션을 만나보세요."
"자일리톨 팝업 - Xylitol Lab in Finland","25.11.01","25.11.16","서울 강남구 언주로168길 24 2층, KREAM VIP룸","양치처럼 매일 꾸준히 우리 가족 치아를 책임지는 자일리톨이 성수에 찾아왔습니다"
"봉주르팝업 2025","25.07.23","25.11.23","경기 성남시 분당구 판교역로146번길 20, 현대백화점 판교점 5층","현대어린이미술관 MOKA가 개관 10주년을 맞아, 그동안 사랑받았던 전시 중 하나인 <봉주르 팝업> 전시를 새롭게 선보입니다."
"스누피 캠프하우스","25.10.17","25.11.23","서울 성동구 성수이로7길 28, 크리스마스 하우스","스누피와 캠핑을 함께! 스누피와 친구들이 꾸민 캠프하우스 팝업스토어가 성수에 찾아옵니다."
"에이치덱스 도성","25.11.14","26.11.23","서울 성동구 연무장길 65, 1층","HDEX x 피지컬:아시아 팝업 스토어 오픈"
"잼메이트 팝업 in 롯데백화점 본점","25.11.21","25.11.27","서울 중구 남대문로 81, 롯데백화점 본점 B1층","롯데백화점 본점 B1 식품관에서 잼메이트의 특별한 프리미엄 디저트를 만나보세요!"
"롬앤 x ZO&FRIENDS in 트렌드팟 바이 올리브영 성수","25.11.14","26.11.27","서울 성동구 연무장길 65, 1층","2주마다 새로운 팝업이 오픈되는 트렌드팟 바이 올리브영 성수! 이번에는 롬앤 x ZO&FRIENDS 팝업스토어가 찾아왔습니다."
"'오늘의 귀여움' 팝업스토어","25.10.29","25.11.27","대구 중구 달구벌대로 2077, 더현대 대구 지하2층","『GO라니&DA람쥐, 깜자, 부실감자, 복슬이, 몰티즈, 오둥이, 김바덕, 치즈덕, 찌그렁오리』친구들이 모여 ‘오늘의 귀여움 CLASS’ 반장선거와 함께 팝업스토어를 오픈했어요!"
"츄토피아 : 츄파춥스 & 멘토스 팝업","25.10.25","25.11.29","서울 마포구 어울마당로 68 (서교동)","츄파춥스 & 멘토스 팝업 스토어 '츄토피아'로 초대합니다. 홍대에 나타난 거대한 자판기! 이 자판기는 평범한 자판기가 아니라 츄파춥스와 멘토스의 제품이 생산되는 신비한 자판기예요."
"피지컬 아시아 전시 : T-STADIUM 두근득근 챌린지","25.10.30","25.11.30","서울 성동구 연무장1길 7-1 (성수동2가), T Factory 성수","성수에 나타난 <피지컬: 아시아>. 도전의 경기장, T-STADIUM에 초대합니다!"
"DEBUT COUNTDOWN 팝업 : 데뷔까지 단 20분","25.09.05","25.11.30","서울 성동구 연무장1길 7-1 (성수동2가), T팩토리 성수","T엔터 연습생 대모집 누구나 나답게 데뷔할 수 있는 연예기획사, T엔터에 당신을 초대합니다! 단 하루! T엔터의 연습생이 되어 도전하고, 선택하고 마침내 데뷔의 순간을 맞이해 보세요."
"해리포터 마호도코로 팝업","25.09.16","25.11.30","서울 영등포구 여의대로 108, 더현대 서울","해리포터 마호도코로 팝업이 더현대 서울에 열리고 있어요."
"에반게리온 전시 - Lines of EVANGELION","25.08.28","25.11.30","서울 마포구 양화로 188, AK플라자 홍대 4층","한국 최초로 에반게리온 전시회가 홍대를 찾아왔습니다!"
"모머위켄드 팝업스토어","25.10.31","25.11.30","서울 영등포구 여의대로 108, 더현대 서울 4층","여유로운 주말의 감성과 편안함을 제안하는 모머위켄드는 푸드스타일리스트와 국내 도자기 전문가들이 만드는 테이블웨어 브랜드입니다."
"다마고치 파라다이스 팝업스토어","25.11.22","25.11.30","서울 성동구 성수이로 69 1층","다마고치 생일에 팝업스토어가 찾아와요!!"
"주토피아 팝업 : 시크릿 미션","25.11.15","25.12.03","서울 영등포구 여의대로 108, 더현대 서울 5층 에픽서울","주디와 닉의 발자취를 따라 미션을 해결하고, 주토피아의 명예 시민이 되어보세요!"
"MUT 팝업스토어","25.10.31","25.12.04","서울 영등포구 여의대로 108, 더현대 서울 6층","MUT(엠유티)는 패션 브랜드가 아닙니다. 진정한 멋에 대하여 사유하는 라이프스타일 브랜드 입니다."
"메노킨 팝업 : BUBBLE ROOM","25.11.21","25.12.13","서울 성동구 연무장길 38-1, 1층","타임세이빙 미니멀 스킨케어 브랜드, 메노킨의 첫 브랜드 팝업. <BUBBLE ROOM> 오픈"
"지박소년 하나코군 2기 콜라보카페(서울)","25.10.30","25.12.14","서울 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오) 애니플러스 서울합정점","지박소년하나코군2기 X 애니플러스 콜라보 카페 OPEN!"
"지박소년 하나코군 2기 콜라보카페(부산)","25.10.30","25.12.14","부산 부산진구 중앙대로 672 (부전동, 삼정타워), 애니플러스 부산서면점","지박소년하나코군2기 X 애니플러스 콜라보 카페 OPEN!"
"칸독 팝업","25.07.15","25.12.15","울산 울주군 웅촌면 오복길 17-1 101호","[예약제] 반려견과 보호자를 위한 프리미엄 산책용품 브랜드 '칸독(KANDOG)'. 내가 직접 디자인 하는 DIY 목줄, 하네스, 리드줄 등을 칸독팩토리 내 팝업스토어에서 직접 체험해보세요."
"잼메이트 팝업 in 롯데백화점 광복점","25.12.12","25.12.18","부산 중구 중앙대로 2 롯데백화점 광복점 B1층","롯데백화점 광복점 아쿠아몰 B1 식품관에서 잼메이트의 특별한 프리미엄 디저트를 만나보세요!"
"크록스 케이스 팝업","25.12.12","26.12.18","부산 해운대구 센텀남대로 35 신세계 센텀시티 B2F, 하이퍼스테이지","아이코닉한 크록스 감성과 SLBS의 감각이 담긴 Crocs Case 팝업스토어가 부산 센텀시티에서 오픈합니다."
"2025 크리스마스 빌리지 - 부산","25.11.27","25.12.25","부산 해운대구 수영강변대로 120 (우동, 영화의전당)","부산 영화의전당에서 펼쳐지는 1만평 규모의 산타마을, ‘크리스마스 빌리지 부산 2025’ 올해 크리스마스는 산타마을의 요정으로써, 잊지 못할 크리스마스를 경험해보세요!"
"젤리캣 스페이스 팝업스토어","25.11.05","25.12.28","서울 성동구 연무장길 95, 엠엠성수","전 세계에서 최초로 런칭되는 젤리캣 스페이스 팝업스토어 한국 상륙!!"
"산리오캐릭터즈 팝업 : 스위트 홀리데이 크리스마스 하우스","25.11.29","25.12.28","서울 성동구 성수이로7길 28 (성수동2가)","산리오캐릭터즈가 크리스마스 하우스에 여러분을 초대합니다! 매 정각마다 내리는 새하얀 눈부터 포근한 겨울 감성 가득한 공간 사랑스러운 산리오캐릭터즈와 함께 달콤한 홀리데이 무드를 느껴보세요"
"케이팝 데몬 헌터스 팝업","25.12.08","25.12.28","서울 성동구 연무장19길 7 (성수동2가)","전 세계를 뒤흔든 넷플릭스 K-Pop Demon Hunters 팝업이 드디어 한국에서 열립니다!"
"안아줘요 부드라미의 비밀 아지트","25.08.20","25.12.28","서울 동작구 동작대로 119-1, 2층 카페오","귀여운 부드라미의 콜라보 카페 겸 팝업스토어가 오픈했어요."
"천사 vs 악마 가나디 팝업","25.12.03","25.12.29","서울 성동구 성수이로 77 (성수동2가), 라인프렌즈 스퀘어 성수점","천사와 악마, 두 가지의 매력을 가진 가나디가 찾아왔어요!  서로 다른 두 매력이 공존하는 공간, 당신의 마음을 사로잡을 가나디는 누구인가요?"
"러쉬 성수 팝업씨어터: 드랙퀸의 화려한 외출편","25.12.01","25.12.30","서울 성동구 연무장길 58-1, 2층","[공연일정] 12/17(수), 12/23(화), 12/30(화) / [시간] 1회차 - 17:30, 2회차 - 18:30"
"스킴스 팝업 - 성수","25.11.21","25.12.30","서울 성동구 연무장길 21 (성수동2가), TOMG 성수","킴 카다시안의 언더웨어 브랜드, 스킴스 팝업이 성수에서 열립니다"
"메이커스 스튜디오 by LH","25.10.17","25.12.31","서울 성동구 뚝섬로 403, 스테이지 엑스 성수 403","대한민국 주택의 역사를 한 편의 영화처럼 예쁘게 편집한 제작자, LH. 그 특별한 이야기를 담은 스튜디오를 팝업스토어에서 만나보세요."
"퍼머넌트 스튜디오","25.07.05","25.12.31","부산 수영구 민락본동로19번길 62","[직원이 상주하지 않는 매장. 방문 시 예약 필수!] 브랜드 KANGJUNGSEOK의 쇼룸이 부산에 오픈했습니다"
"토리든 커넥트 성수 - 솔리빌리지","25.10.22","25.12.31","서울 성동구 성수이로7가길 17 (성수동2가)","촉촉한 보습 이글루 마을 솔리빌리지로 여러분을 초대합니다 세럼부터 크림까지 증정 이벤트가 한가득이니 풍성한 현장 이벤트를 즐기며, 솔리빌리지에서 진짜 보습 장벽을 쌓아보세요."
"캠프 보산 팝업 - 보산을 담다","25.09.26","25.12.31","경기 동두천시 평화로 2539","보산동만의 지도, 여행 팁, 공정 관광 코스는 물론 다양한 체험거리까지! '보산을 담다' 팝업이 찾아왔습니다."
"누누 부산 팝업스토어","25.06.21","25.12.31","부산 기장군 기장읍 동부산관광1로 60, 라우어 애비뉴","누누 팝업스토어가 부산 라우어에 오픈했습니다! 장줄리앙의 대형 조각 작품들과 다양한 누누 상품을 만나보세요."
"팝마트 윈터 빌리지","25.12.01","25.12.31","서울 성동구 연무장7길 13 (성수동2가, 팩토리얼성수)","올해 크리스마스, 팝마트 윈터 빌리지에서 행복을 전하는 일곱 친구들과 나에게 어울리는 완벽한 선물을 찾는 여정이 펼쳐집니다."
"Atelier de Noël : 해리의 크리스마스 공방","25.11.01","25.12.31","서울 영등포구 여의대로 108, 더현대 서울","기다림이 설렘이 되는 순간, 더현대 서울에서 크리스마스가 시작됩니다. Atelier de Noël에서 작은 곰 해리와 함께 따뜻한 마음을 담은 선물을 준비해보세요."
"롯데타운 크리스마스 마켓","25.11.20","26.01.04","서울 송파구 올림픽로 300, 롯데월드몰 월드파크","하트 라이트 쇼, 스노우 샤워, 위시 월 이벤트 등 다양한 이벤트와 핫초코 카페, 베이크 하우스 같은 스페셜 부스, 그리고 다채로운 F&B 라인업까지. 한층 더 풍성하고 다채로워진 롯데백화점만의 유러피안 크리스마스 마켓을 만나보세요!"
"필리포피아나 부산 팝업","25.12.05","26.01.04","부산 부산진구 가야대로 772, 4층 골프존","프리미엄 골프웨어 브랜드, '필리포피아나'의 부산 팝업스토어가 오픈했습니다."
"TBH DEPARTMENT STORE","25.12.19","26.01.04","서울 성동구 연무장17길 4","tbh와 헬로 키티가 함께하는 TBH DEPARTMENT STORE가 서울에 왔습니다!"
"이모나리 팝업","25.12.05","26.01.04","서울 성동구 연무장7길 7 (성수동2가)","고구마스틱과 고구마빠스가 콜라보를 하면? 고구마켄피가 됩니다. 지금 성수에 일본식 전통 스낵이 찾아왔습니다."
"안단잼 팝업 With 티하우스청담","25.11.13","26.01.04","서울 강남구 삼성로120길 52-1, 1층 티하우스청담","도심속 작은 영국에서 즐기는 달콤한 시간. 안단잼과 티하우스청담이 함께하는 팝업 카페로 초대합니다."
"포춘살롱 성수 운세 팝업 with.인생사주","26.12.26","26.01.04","서울 성동구 성수일로 33","성수에서 열리는 최대 운세 팝업. 전화사주 플랫폼 '인생사주'와 함께하는 성수 팝업!"
"루블리스 팝업 in 성수","26.12.26","26.01.04","서울 성동구 성수이로7가길 20-1, 101호","루블리스 팝업스토어에서 헤어와 피부, 그리고 향기까지. 매일의 작은 순간을 특별하게 만드는 감각을 경험해 보세요."
"오슬로우 빈티지 마켓 팝업","26.12.27","26.01.04","인천 중구 월미로 33 (북성동1가, 상상플랫폼)","대한민국 최대 규모 빈티지 크리스마스 마켓 열린다! 어디에서도 볼 수 없는 1,500평 규모의 유럽풍 크리스마스 빈티지 천국. 엄선된 셀러들이 선보이는 빈티지 아이템들을 모두 한자리에서 만나보세요"
"포컬포인트 스타필트 하남","25.09.01","26.01.07","경기 하남시 미사대로 750, 스타필드 하남","블루리본 파이 맛집 '포컬포인트'가 스타필드 하남에 오픈했습니다."
"캐리랜드 크리스마스 팝업","25.11.14","26.01.07","서울 강남구 가로수길 82 (신사동), 캐리마켓 신사 1층","캐리마켓 신사가 초대형 선물 상자로 변신했어요! 선물 상자의 문을 열고 들어오면, 반짝이는 트리, 따뜻한 불빛이 가득한 진짜 선물 같은 공간이 짠! 캐리랜드에 새롭게 합류한 귀여운 친구들도 기다리고 있어요!"
"프레스버터샌드 갤러리아백화점 압구정점 팝업","25.09.30","26.01.08","서울 강남구 압구정로 343, 갤러리아백화점 지하1층","일본 도쿄에서 줄 서서 기다려야만 맛볼 수 있는 쿠키 명품, 프레스 버터샌드를 갤러리아백화점 압구정점에서 만나보세요."
"베이크타운 팝업 in AK플라자 수원","25.12.05","26.01.08","경기 수원시 팔달구 덕영대로 924, 지하1층 푸드홀","두바이 디저트 2종을 맛볼 수 있는 '베이크 타운' 팝업!"
"아이들 전시 - CITY of SENSE","25.12.19","26.01.10","서울 성동구 성수이로 50, Space S50 (성수동2가, 익상빌딩)","'감각'이라는 키워드를 시각적으로 풀어낸 도시적 공간을 테마로 미디어 아트 영상존, 포토카드 부스, 미니어처 포토존까지! I-DLE과 함께 즐길거리가 가득한 City of Sense 전시로 초대합니다."
"미피와 마법 우체통 전시","25.09.11","26.01.11","부산 수영구 광남로 96","미피 생일파티, 이번엔 부산이다! 미피와 마법 우체통이 부산에 찾아왔어요 전시에 참여해 생일파티를 같이 즐겨주세요."
"프라포투투 팝업","25.11.01","26.01.11","서울 성동구 연무장17길 10 (성수동2가), LCDC SEOUL","지속가능성 향원 기반 프리미엄 프래그런스 하우스 '프라포투투'가 LCDC Seoul에 찾아왔습니다."
"샬랑 드 파리 X 무신사 팝업","25.12.31","26.01.11","서울 성동구 연무장길 81, 무신사 뷰티 스페이스 1","샬랑 드 파리의 따뜻한 티타임에 초대합니다!"
"덴티스테 팝업 in 올리브영N 성수","26.01.03","26.01.11","서울 성동구 연무장7길 13, 팩토리얼 성수","ALL DAY REFRESH! 덴티스테로 나만의 2026 REFRESH ROUTINE을 완성해보세요."
"THE 8 : 감각이 모이다 성수","26.01.11","26.01.12","서울 성동구 연무장17길 2","8개의 네일 브랜드가 모여서 만드는 놀라운 감각을 느끼고 감상해보세요!"
"메타몽 팝업 : 메타몽의 시크릿 캡슐 맨션","25.12.19","26.01.12","서울 송파구 올림픽로 300, 잠실 롯데월드몰 1층 아트리움 (신천동)","메타몽의 시크릿 캡슐맨션에 여러분을 초대합니다 이 맨션의 꼭대기층 비밀 공간에는 사랑하는 이들을 위해 선물을 준비하는 공장이 숨겨져 있어요"
"피에르 에르메 파리 더현대 서울","25.12.16","26.01.14","서울 영등포구 여의대로 108, 더현대 서울 B1","오트 파티세리의 거장 피에르 에르메, 전 세계가 사랑한 그의 정교하고 아름다운 디저트 컬렉션이 이제 한국에서 새로운 여정을 시작합니다."
"맥 파우더 키스 팝업 스토어","26.01.08","26.01.15","서울 성동구 성수이로 78, 대림창고","글로벌 메이크업 브랜드 '맥(M.A.C)'의 NEW 파우더 키스 컬렉션 출시 기념 팝업이 오픈했습니다!"
"계란빵 클럽 팝업스토어","26.01.03","26.01.15","인천 연수구 송도국제대로 123, 현대프리미엄아울렛 송도점","인천 송도에서 온 토핑 듬뿍 새로운 계란빵. 계란빵을 사랑하는 사람들이 모여드는 곳 '계란빵 클럽'"
"우아(OOOA) 현대아울렛 송도 팝업","26.01.01","26.01.15","인천 연수구 송도국제대로 123, 현대프리미엄아울렛 송도점","우리 아이의 건강한 성장을 위한 특별한 선택. 영양소 가득 프리미엄 간식 브랜드 '우아(OOOA)'의 팝업 스토어가 오픈했습니다."
"우아(OOOA) 현대아울렛 스페이스원 팝업","26.01.09","26.01.15","경기 남양주시 다산순환로 50, 현대프리미엄아울렛 스페이스원","우리 아이의 건강한 성장을 위한 특별한 선택. 영양소 가득 프리미엄 간식 브랜드 '우아(OOOA)'의 팝업 스토어가 오픈합니다."
"빤쮸토끼 팝업","25.12.12","26.01.18","서울 성동구 연무장길 97 (성수동2가)","일상 속의 소소한 불행을 유머러스하게 그려낸 귀여운 빤쮸토끼 캐릭터가 성수에 찾아왔습니다."
"발로란트 V26 시즌 스타트 오프라인 팝업","26.01.09","26.01.18","서울 성동구 성수이로18길 6-1 (성수동2가)","발로란트 2026 시즌 스타트를 기념해 오프라인 팝업이 진행됩니다! 새로운 시즌의 시작을 현장에서 직접 경험해보세요."
"아디다스 X ABC마트 팝업","25.12.23","26.01.18","서울 성동구 성수이로 69 (성수동2가, 삼화빌딩), ABC마트 성수팝업점","아디다스의 다양한 선물과 함께, 오직 ABC 성수 팝업점만의 익스클루시크 체험 팝업이 찾아왔습니다"
"프리파라 팝업","26.01.01","26.01.18","서울 광진구 아차산로 262 (자양동), 롯데시네마 건대입구점 3층 브이스퀘어","프리파라 10주년을 기념한 팝업스토어 & 콜라보 카페가 열렸습니다! 10주년을 기념하여 한국 오리지널 신규 일러스트 공개! 2026년 시작을 프리파라와 함께!"
"헬로키티 X 지수 팝업","26.01.14","26.01.20","서울 강남구 언주로168길 24 (신사동) KREAM 도산 스토어 2층","지수가 있는 곳에 늘 헬로키티가 있다. 세대를 아우르는 글로벌 문화의 아이콘 헬로키티와 글로벌 트렌드를 선도하는 아티스트 지수가 만났습니다."
"페이퍼백 웰니스 아지트","26.01.09","26.01.20","서울 성동구 아차산로 116","프리미엄 패밀리 웰니스 케어 브랜드 '페이퍼백'의 팝업 스토어가 성수에 오픈합니다."
"하우스 오브 애슐리","25.12.20","26.01.25","서울 성동구 아차산로17길 48, B1","애슐리의 꿈과 스토리, 미식에 대한 이야기. 하우스 오브 애슐리에 초대합니다."
"스킴스 팝업 - 여의도","25.11.21","26.01.25","서울 영등포구 여의대로 108, 더현대 서울 (여의도동)","킴 카다시안의 언더웨어 브랜드, 스킴스 팝업이 더현대 서울에서 열립니다"
"꿈돌이X뽀로로 스위트 부티크 팝업 - 대전","25.12.08","26.01.25","대전 동구 철갑3길 17 (소제동), 아트사이트 소제","꿈돌이와 뽀로로가 운영하는 달콤한 디저트 부티크로 초대합니다. <뽀로로 극장판: 스위트 캐슬 대모험> 속 세계관과 함께하는 사랑스럽고 환상적인 공간을 체험해보세요."
"주토피아2 팝업 : 윈터 베케이션","25.12.30","26.01.28","대전 유성구 엑스포로 1 (도룡동), 신세계백화점 대전점 6층","LET’S ZOOGETHER! 귀여움 과다주의. 이건 그냥 지나치기 불가. 주토피아 친구들과 함께하는 특별한 겨울, 지금 만나보세요"
"샤이샤이샤이 팝업","25.12.17","26.01.28","서울 성동구 연무장길 81 (성수동2가, 남경빌딩)","자외선으로 인한 광노화 문제를 연구하는 안티에이징 스킨케어 브랜드 샤이샤이샤이가 성수에 팝업으로 찾아왔습니다."
"시오팡야 스타필드 수원점 팝업","25.11.07","26.01.29","경기 수원시 장안구 수성로 175, 스타필드 수원 1층","광화문 소금빵 맛집 '시오팡야'의  수원 팝업 스토어! 소금빵의 원조, 일본식 소금빵을 확인해보세요."
"인에이 수원 스타필드 팝업스토어","26.01.16","26.01.29","경기 수원시 장안구 수성로 175, 스타필드 수원 4층","인에이의 2026년 첫 팝업이 1월 16일부터 14일간 스타필드 수원에서 열립니다. 이번 팝업에서는 지난해 가장 많은 사랑을 받은 '픽미 팬티' 를 직접 조합해 만드는 <나만의 픽미 팬티 만들기> 이벤트를 준비했습니다."
"드모르 부산 신세계백화점 센텀시티 팝업","25.12.01","26.01.31","부산 해운대구 센텀남대로 35, 신세계백화점 센텀시티점 7층","계속 머무르고 싶은 프리미엄 맞춤 가구, 드모르(DEMOR)의 부산 신세계백화점 센텀시티 팝업스토어!"
"어뮤즈, W컨셉 팝업 @이마트24 트렌드랩 성수","25.11.27","26.01.31","서울 성동구 아차산로 104, 이마트24 트렌드랩성수","이마트24 첫 번째 플래그십 스토어, '이마트24 트렌드랩성수점' 팝업 오픈! 이마트24만의 감각으로 선보이는 특별한 콜라보 팝업. 어뮤즈코리아, W컨셉코리아가 트렌드랩성수점에서 함께합니다."
"소니엔젤 팝업 - 부산","25.12.12","26.01.31","부산 해운대구 센텀남대로 35 (우동), 신세계백화점센텀시티점","평소엔 '조기품절로 못 샀다…'는 말이 나올 정도로 희소성 100% 브랜드지만, 이번 부산 팝업은 히퍼, 히퍼루킹백, 산타 신상 포함 물량 대량 확보 완료."
"UGG 롯데백화점 대전점 팝업","25.09.12","26.01.31","대전 서구 계룡로 598, 롯데백화점 1층","어그의 계절 겨울. UGG의 상품들을 롯데백화점 대전점 팝업에서 확인해보세요."
"알파드라이브원 with 브링그린 팝업","26.01.13","26.01.31","서울 성동구 연무장7길 13 (성수동2가, 팩토리얼성수)","성분은 순하게 ALPHA, 효과는 빠르게 DRIVE! 브링그린과 알파드라이브원이 함께하는 팝업스토어"
"치이상점 팝업","26.01.01","26.01.31","경기 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자)","아오키 치이상점이 수원 AK플라자에 팝업으로 찾아왔어요 아오키 치이상점만의 작고 귀여운 무드가 가득 담긴 상품들을 한자리에서 만날 수 있어요."
"명탐정 코난 추리게임 팝업","26.01.09","26.02.08","서울 마포구 홍익로2길 7, B1층","인기 극장판 <명탐정 코난 : 100만 달러의 펜타그램> 그 이후의 사건을 다룬, 누적 200만 명 이상이 참가한 일본 오리지널 명탐정 코난 대규모 추리 게임! 한국 최초 공개!"
"맥캘란 팝업","26.01.26","26.02.08","서울 성동구 서울숲2길 12 (성수동1가) 지하1층","뉴욕·스코틀랜드 헤리티지를 담은 위스키 브랜드 맥캘란이 티 오마카세 공간 오므오트에서 위스키와 차의 특별한 페어링을 선보입니다."
"러븀 팝업","26.01.28","26.02.08","서울 성동구 연무장길 81 (성수동2가, 남경빌딩), 성수 무신사 뷰티 스페이스 1","러븀의 피부 루틴 철학을 담은 첫 번째 팝업 스토어가 성수에서 열려요. 러븀이 제안하는 피부 루틴을 직접 체험해보세요."
"NEXT WAVE POP UP","25.12.24","26.02.18","서울 성동구 연무장길 73 2층","크리에이터 비즈니스 기업 '글로우업리즈'가 추천하는 브랜드를 한자리에 모아 오프라인에서 경험할 수 있습니다."
"스노우 하우스오브신세계 청담점 팝업","26.02.06","26.02.18","서울 강남구 도산대로 442, 하우스오브신세계 청담 지하1층","일본 디저트 브랜드 '스노우'가 하우스오브신세계 청담점서 팝업스토어를 오픈합니다."
"메이드바이 행운맨숀 팝업 - 홍대","26.01.08","26.02.19","서울 마포구 연희로 11 (동교동, 한국특허기술진흥원빌딩)","메이드바이 팝업 행운맨숀 OPEN! 전국 5개 지점에서 행운맨숀의 공간을 둘러보실 수 있는 룸투어 팝업을 진행합니다! 30인의 작가님과 함께 만든 인형 키링과 30종의 신상 인형 소품들, 그리고 다양한 행운맨숀 제품들까지!"
"치플레 팝업 - 송도현대프리미엄아울렛","25.08.22","26.02.20","인천 연수구 송도국제대로 123, 현대프리미엄아울렛 송도점 B1층","서울 3대 치즈케이크 '치플레'가 26년 2월까지 인천 송도 현대프리미엄아울렛에서 팝업스토어를 운영합니다."
"크록스 케이스 팝업 in 삼정타워","26.01.03","26.02.22","부산 부산진구 중앙대로 672, 삼정타워 2층","부산 삼정타워에서 크록스 케이스를 만나보세요! 아이폰, 갤럭시, 에어팟, 맥세이프 월렛. 모든 라인업을 만날 수 있어요."
"티팩토리 윈터마켓 : FOR MY NEXT CHAPTER","25.12.21","26.02.22","서울 성동구 연무장1길 7-1, T Factory 성수","T 팩토리가 준비한 특별한 윈터마켓 FOR MY NEXT CHAPTER에 초대합니다. FOR MY NEXT CHAPTER 윈터마켓에서 2025년의 나를 돌아보고 나의 다음 챕터를 펼쳐보세요."
"WISH BAKERY","26.02.07","26.02.22","서울 성동구 연무장13길 11, 슈매니아빌딩","NCT WISH 캐릭터 팝어 'WISH BAKERY'가 성수에 열립니다."
"레고 발렌타인데이 팝업스토어","26.02.05","26.02.25","서울 성동구 성수이로 74 (성수동2가), 무신사 스토어 성수 대림창고","무신사와 레고 코리아가 레고 꽃이 피어나는 '블룸 바(Bloom Bar)' 콘셉트로 발렌타인데이 팝업스토어를 운영합니다!"
"펍지 성수 윈터스쿨","26.01.17","26.02.27","서울 성동구 왕십리로4길 5 (성수동1가), PUBG 성수","펍지(PUBG) 성수에서 겨울 시즌을 맞아 윈터스쿨 이벤트가 진행됩니다. 배틀그라운드를 깊이 있게 배우는 e-sports 클래스부터 다양한 취향의 체험형 프로그램을 만나보세요."
"밀빛 더현대 서울 팝업","25.09.01","26.02.28","서울 영등포구 여의대로 108, 더현대 서울","황치즈, 말차, 체리, 블루베리, 흑절미, 왕밤 6가지 맛으로 꽉 채운 밀빛의 시그니처 맘모스를 이제 여의도에서 만나보세요."
"주술회전 X 서울스카이 전시","25.12.12","26.02.28","서울 송파구 올림픽로 300 (신천동), 롯데월드타워 서울스카이","[서울스카이X주술회전 회옥•옥절&시부야사변] 서울스카이 전망대 하늘 위로 영역전개!"
"크레페허브 타임빌라스 수원점 팝업","26.01.03","26.02.28","경기 수원시 권선구 세화로 134, 타임빌라스 수원 3F 다이닝 에비뉴","크레페 전문 브랜드, '크레페허브'가 타임빌라스 수원에 팝업스토어를 오픈했습니다."
"디즈니 X 아이스비스킷 팝업","26.01.22","26.02.28","서울 강남구 가로수길 82 (신사동), 캐리마켓 신사","디즈니와 아이스비스킷이 함께하는 사랑스러운 콜라보 팝업스토어가 캐리마켓 신사에서 열려요. 협업 컬렉션 상품 쇼핑은 물론, 스탬프 랠리와 가챠 이벤트까지 즐길 수 있어요."
"나 혼자만 레벨업 전시","25.12.13","26.03.01","서울 마포구 양화로 186 (동교동, LC TOWER)","세계를 위협하는 마수들에 맞서기 위해 우리에게 남은 희망은 각성자, 바로 당신입니다! 성진우 헌터의 여정을 체험하며 당신도 레벨업 할 수 있는 유일한 기회!"
"디앤드퀘스천 팝업 - 롯데월드몰","26.02.20","26.03.05","서울 송파구 올림픽로 300, 롯데월드몰 지하 1층","패션 브랜드 THE END QUESTION 팝업스토어가 잠실 롯데월드몰에 오픈합니다."
"A YEAR IN RUBY","26.03.05","26.03.11","서울 영등포구 여의대로 108, 더현대서울 B2층","제니의 1st Studio Album Ruby 발매 1주년을 기념하는 팝업 스토어가 더현대 서울에서 열립니다."
"온유 팝업 - TOUGH LOVE","26.03.08","26.03.15","서울 성동구 왕십리로 104, 영화104","샤이니 온유의 다섯 번째 미니앨범 발매를 기념해 ‘TOUGH LOVE’ 팝업이 성수에서 열립니다"
"나이키 에어맥스 팝업","26.03.05","26.03.15","서울 성동구 성수이로 74 (성수동2가), 무신사 스토어 성수","성수 무신사 스토어에서 나이키 에어맥스 팝업이 오픈합니다. 특별하게 꾸며진 포토존과 럭키드로우를 만나보세요"
"이클립스 월드 : Into the tincase","26.03.12","26.03.15","서울 성동구 성수이로 88 남정빌딩","상상만 하던 이클립스 포도향으로 가득 찬 이클립스 세상이 성수에?! 상쾌함을 퍼뜨리기 위한 미션과 달달한 포도향 가득한 기프트까지. 이클립스 월드 팝업에서 만나요!"
